C5817   APRSWXNET   8800  4969  26  23.9   0.8   1.1  26   6.1  -0.9    2.6   17    2
SPYI4   IEM         8801  5145  40  15.6   1.0   0.8  40   4.0  -0.9    1.4   30  -15
BTRT2   RAWS        8802  6019  39  29.9   1.4   1.8  39   2.3  -0.9    1.3   15  -11
NBKO3   RAWS        8803  6250  39  12.1  -0.3   2.3  39   3.6   0.9    1.7   15  -29
A28     MesoWest    8804  6583  38  20.8   0.8   1.1  38   4.3   0.9    1.7   18  -23
AFA09   AFA         8805  7037  40   9.8  -5.7   1.5  40   6.0   0.9    1.6   32  -40
HTSC1   RAWS        8806  7220  40  19.3  -4.0   1.6  40   3.3  -0.9    1.8   24   -6
ALRN2   RAWS        8807  7842  40  13.4   0.8   2.4  40   6.0   0.9    2.4   28   -3
AP051   APRSWXNET   8808  8917  37  26.7   1.0   1.4  37   2.2  -0.9    1.3   14   10
DQUOI   AWS         8809 26341  39  21.6  -0.5   1.2  39   3.2  -0.9    1.4   21  -15
GLDMD   AWS         8810 26517  40  25.6  -0.5   0.8  40   5.0  -0.9    2.2   40   32
DLRYD   AWS         8811 26526  40  26.6  -1.1   1.0  40   4.2  -0.9    1.5   36    9
WDSTC   UrbaNet     8812 27227  43  23.4  -0.1   1.7  43   2.1  -0.9    1.5   12    4
A0022   UrbaNet     8813 27378  40  19.8   0.2   1.6  40   3.5   0.9    1.4   14   -4
STHTN   UrbaNet     8814 27408  42  18.4  -0.3   1.6  42   1.4  -0.9    1.4    3   23
DGLSV   UrbaNet     8815 28397  38  24.1  -0.2   1.1  38   2.1  -0.9    1.9   10    6
